Tweet,Date,Retweet,Favorite,Tweet Source,Tweet Language,User Name,User Language
"S.O.S, pour les malades de l insuffisance renale chronique, http://on.fb.me/dR8zWn, SVP Faites passer le message.#civ2010, #civsocial.",2011-04-03 13:36:58 +0000 Sun,4,0,Twitter Web Client,fr,manasse.dehe,fr
"#civsocial, CICR, OMS, AIDIR, MEDECINS SANS FRONTIERE, S.O.S, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 13:38:09 +0000 Sun,1,0,Twitter Web Client,da,manasse.dehe,fr
"S.O.S en CIV,#civsocial, CICR, OMS, AIDIR, MEDECINS SANS FRONTIERE, #s.o.s.civ, http://on.fb.me/dR8zWn, #civ2010, +225 07 70 40 64",2011-04-03 13:40:55 +0000 Sun,3,0,Twitter Web Client,und,manasse.dehe,fr
"S.O.S,PLEASE HELP dialysis patients in Ivory Coast, http://on.fb.me/dR8zWn, Please Spread the message.#civ2010, #civsocial.",2011-04-03 13:49:46 +0000 Sun,1,0,Twitter Web Client,en,manasse.dehe,fr
"S.O.S,PLEASE HELP dialysis patients in Ivory Coast, http://on.fb.me/dR8zWn, Please Spread the message.#civ2010, #civsocial,#cicr,#msf,#oms",2011-04-03 13:53:17 +0000 Sun,2,0,Twitter Web Client,en,manasse.dehe,fr
"#civsocial, #CICR, #OMS,#MSF,Cote d Ivoire S.O.S sauvons les insuffisants rénaux sous-dialysés, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 14:08:25 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"S.O.S,PLEASE HELP dialysis patients in Ivory Coast, http://on.fb.me/dR8zWn, Please Spread the word.#civ2010, #civsocial,#cicr,#msf,#oms",2011-04-03 14:13:45 +0000 Sun,2,0,Twitter Web Client,en,manasse.dehe,fr
"#civsocial, #CICR, #OMS,#MSF,Cote d Ivoire S.O.S sauvons les insuffisants renaux sous-dialysés, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 14:17:33 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"S.O.S,#civsocial,PLEASE HELP dialysis patients in Ivory Coast, http://on.fb.me/dR8zWn, Please Spread the word.#civ2010,#cicr,#msf,#oms",2011-04-03 14:28:52 +0000 Sun,0,0,Twitter Web Client,en,manasse.dehe,fr
"S.O.S,#civsocial,PLEASE HELP dialysis patients in Ivory Coast, http://on.fb.me/dR8zWn, Please Spread the word.#civ2010,#cicr,#msf,#oms",2011-04-03 14:29:29 +0000 Sun,4,0,TweetDeck,en,Jean-Patrick Ehouman,en
"#civsocial, S.O.S,PLEASE HELP dialysis patients in Cote d Ivoire, http://on.fb.me/dR8zWn, Please Spread the word.#civ2010,#cicr,#msf,#oms",2011-04-03 14:30:36 +0000 Sun,0,0,Twitter Web Client,en,manasse.dehe,fr
"S.O.S,#civsocial,PLEASE HELP dialysis patients in Ivory Coast, http://on.fb.me/dR8zWn, Please Spread the message.#civ2010,#cicr,#msf,#oms",2011-04-03 14:34:26 +0000 Sun,1,0,Twitter Web Client,en,manasse.dehe,fr
